"","term","kana","pos","value"
"1","優れる","すぐれる","動詞",1
"2","良い","よい","形容詞",0.999995
"3","喜ぶ","よろこぶ","動詞",0.999979
"4","褒める","ほめる","動詞",0.999979
"5","めでたい","めでたい","形容詞",0.999645
"6","賢い","かしこい","形容詞",0.999486
"7","善い","いい","形容詞",0.999314
"8","適す","てきす","動詞",0.999295
"9","天晴","あっぱれ","名詞",0.999267
"10","祝う","いわう","動詞",0.999122
"11","功績","こうせき","名詞",0.999104
"12","賞","しょう","名詞",0.998943
"13","嬉しい","うれしい","形容詞",0.998871
"14","喜び","よろこび","名詞",0.998861
"15","才知","さいち","名詞",0.998771
"16","徳","とく","名詞",0.998745
"17","才能","さいのう","名詞",0.998699
"18","素晴らしい","すばらしい","形容詞",0.998617
"19","芳しい","かんばしい","形容詞",0.998578
"20","称える","たたえる","動詞",0.998576
"21","適切","てきせつ","名詞",0.998406
"22","崇める","あがめる","動詞",0.998357
"23","助ける","たすける","動詞",0.998356
"24","抜きんでる","ぬきんでる","動詞",0.998356
"25","清水","せいすい","名詞",0.998356
"26","雄雄しい","おおしい","形容詞",0.998272
"27","仕合せ","しあわせ","名詞",0.998208
"28","幸い","さいわい","名詞",0.997862
"29","吉兆","きっちょう","名詞",0.997795
"30","秀でる","ひいでる","動詞",0.997777
"31","宜しい","よろしい","形容詞",0.997517
"32","きりりしゃんと","きりりしゃんと","副詞",0.997511
"33","矜持","きんじ","名詞",0.997455
"34","香しい","かぐわしい","形容詞",0.997438
"35","しこなす","しこなす","動詞",0.997408
"36","遣りこなす","やりこなす","動詞",0.997406
"37","優麗","ゆうれい","名詞",0.997337
"38","気高い","けだかい","形容詞",0.997325
"39","手柄","てがら","名詞",0.997308
"40","正義","せいぎ","名詞",0.997278
"41","麗しい","うるわしい","形容詞",0.99726
"42","名高い","なだかい","形容詞",0.997259
"43","感心","かんしん","名詞",0.997201
"44","誉れ","ほまれ","名詞",0.997198
"45","卓説","たくせつ","名詞",0.997194
"46","巍然","ぎぜん","名詞",0.997192
"47","崇敬","すうけい","名詞",0.997192
"48","美徳","びとく","名詞",0.997143
"49","素早い","すばやい","形容詞",0.997105
"50","背負ってる","しょってる","動詞",0.997074
"51","人材","じんざい","名詞",0.997049
"52","果報者","かほうもの","名詞",0.997027
"53","多祥","たしょう","名詞",0.997027
"54","勇ましい","いさましい","形容詞",0.996987
"55","秀逸","しゅういつ","名詞",0.996946
"56","まぐれ幸い","まぐれざいわい","名詞",0.996941
"57","賞揚","しょうよう","名詞",0.996923
"58","称賛","しょうさん","名詞",0.996923
"59","称美","しょうび","名詞",0.996923
"60","激賞","げきしょう","名詞",0.996923
"61","熱讚","ねっさん","名詞",0.996916
"62","一品","いっぴん","名詞",0.996884
"63","怜","れい","名詞",0.996876
"64","愉悦","ゆえつ","名詞",0.996868
"65","奮い立つ","ふるいたつ","動詞",0.996844
"66","速攻","そっこう","名詞",0.996844
"67","百錬","ひゃくれん","名詞",0.996839
"68","淵","えん","名詞",0.996838
"69","好個","こうこ","名詞",0.996817
"70","似つかわしい","につかわしい","形容詞",0.996801
"71","喜悦","きえつ","名詞",0.996789
"72","欣然","きんぜん","副詞",0.996789
"73","欣欣然","きんきんぜん","名詞",0.996789
"74","欣欣","きんきん","名詞",0.996789
